title,totalyearlycompensation,yearsofexperience,location,experience_category
Software Engineer,100000,5.0,"San Francisco, CA",4-6
Software Engineer,157000,5.0,"Mountain View, CA",4-6
Software Engineer,208000,8.5,"Seattle, WA",7-9
Software Engineer,156000,4.0,"Seattle, WA",4-6
Software Engineer,120000,3.0,"Redmond, WA",0-3
Software Engineer,201000,12.0,"Seattle, WA",10-19
Software Engineer,155000,5.0,"Bellevue, WA",4-6
Software Engineer,191000,7.0,"Seattle, WA",7-9
Software Engineer,218000,10.0,"Seattle, WA",10-19
Software Engineer,168000,1.0,"Menlo Park, CA",0-3
Software Engineer,160000,9.0,"San Francisco, CA",7-9
Software Engineer,50000,2.0,"London, EN, United Kingdom",0-3
Software Engineer,195000,9.0,"Redmond, WA",7-9
Software Engineer,155000,8.0,"Sunnyvale, CA",7-9
Software Engineer,300000,12.0,"Seattle, WA",10-19
Software Engineer,430000,12.0,"Seattle, WA",10-19
Software Engineer,200000,3.0,"Cupertino, CA",0-3
Software Engineer,300000,8.0,"Mountain View, CA",7-9
Software Engineer,440000,14.0,"New York, NY",10-19
Software Engineer,340000,4.0,"Los Gatos, CA",4-6
Software Engineer,120000,5.0,"Cupertino, CA",4-6
Software Engineer,170000,9.0,"Dublin, DN, Ireland",7-9
Software Engineer,161000,7.0,"Seattle, WA",7-9
Software Engineer,342000,8.0,"Redmond, WA",7-9
Software Engineer,200000,7.0,"Cupertino, CA",7-9
Software Engineer,910000,28.0,"Redmond, WA",20+
Software Engineer,250000,12.0,"San Francisco, CA",10-19
Software Engineer,520000,13.0,"San Francisco, CA",10-19
Software Engineer,350000,12.0,"Seattle, WA",10-19
Software Engineer,200000,5.0,"Sunnyvale, CA",4-6
Software Engineer,88000,5.0,"Baltimore, MD",4-6
Software Engineer,320000,4.0,"San Francisco, CA",4-6
Software Engineer,410000,10.0,"San Francisco, CA",10-19
Software Engineer,190000,1.0,"Menlo Park, CA",0-3
Software Engineer,150000,3.0,"Cupertino, CA",0-3
Software Engineer,184000,5.0,"San Francisco, CA",4-6
Software Engineer,132000,0.5,"Seattle, WA",0-3
Software Engineer,188000,4.0,"Seattle, WA",4-6
Software Engineer,172000,2.0,"Seattle, WA",0-3
Software Engineer,140000,1.0,"Sunnyvale, CA",0-3
Software Engineer,200000,9.0,"Seattle, WA",7-9
Software Engineer,183000,11.0,"Seattle, WA",10-19
Software Engineer,230000,14.0,"Seattle, WA",10-19
Software Engineer,210000,3.0,"Cupertino, CA",0-3
Software Engineer,240000,5.0,"San Francisco, CA",4-6
Software Engineer,285000,5.0,"Seattle, WA",4-6
Software Engineer,210000,5.0,"Seattle, WA",4-6
Software Engineer,260000,14.0,"Redmond, WA",10-19
Software Engineer,430000,10.0,"Mountain View, CA",10-19
Software Engineer,350000,10.0,"Sunnyvale, CA",10-19
Software Engineer,430000,8.0,"Cupertino, CA",7-9
Software Engineer,560000,8.0,"Cupertino, CA",7-9
Software Engineer,196000,5.0,"Seattle, WA",4-6
Software Engineer,245000,23.0,"Mountain View, CA",20+
Software Engineer,310000,8.0,"Sunnyvale, CA",7-9
Software Engineer,600000,10.0,"Menlo Park, CA",10-19
Software Engineer,110000,6.0,"Sacramento, CA",4-6
Software Engineer,365000,9.0,"San Francisco, CA",7-9
Software Engineer,150000,0.0,"Seattle, WA",0-3
Software Engineer,690000,11.5,"Seattle, WA",10-19
Software Engineer,200000,14.0,"Seattle, WA",10-19
Software Engineer,275000,4.0,"Mountain View, CA",4-6
Software Engineer,245000,10.0,"Seattle, WA",10-19
Software Engineer,150000,4.0,"Redmond, WA",4-6
Software Engineer,212000,11.0,"Cambridge, EN, United Kingdom",10-19
Software Engineer,156000,0.0,"Seattle, WA",0-3
Software Engineer,158000,0.0,"Mountain View, CA",0-3
Software Engineer,148000,1.0,"Sunnyvale, CA",0-3
Software Engineer,273000,1.0,"Sunnyvale, CA",0-3
Software Engineer,240000,6.0,"Redmond, WA",4-6
Software Engineer,268000,5.0,"Mountain View, CA",4-6
Software Engineer,400000,5.0,"Seattle, WA",4-6
Software Engineer,125000,5.0,"Aliso Viejo, CA",4-6
Software Engineer,178000,10.0,"Seattle, WA",10-19
Software Engineer,377000,8.0,"San Francisco, CA",7-9
Software Engineer,165000,4.0,"San Jose, CA",4-6
Software Engineer,90000,8.0,"Bangalore, KA, India",7-9
Software Engineer,250000,10.0,"San Francisco, CA",10-19
Software Engineer,166000,0.0,"Mountain View, CA",0-3
Software Engineer,150000,1.0,"San Francisco, CA",0-3
Software Engineer,220000,10.0,"Redmond, WA",10-19
Software Engineer,345000,9.0,"San Francisco, CA",7-9
Software Engineer,295000,12.0,"Seattle, WA",10-19
Software Engineer,30000,10.0,"Minsk, HM, Belarus",10-19
Software Engineer,110000,0.0,"New York, NY",0-3
Software Engineer,179000,2.0,"Mountain View, CA",0-3
Software Engineer,150000,3.5,"Redmond, WA",0-3
Software Engineer,144000,1.0,"Seattle, WA",0-3
Software Engineer,154000,0.0,"Redmond, WA",0-3
Software Engineer,220000,20.0,"London, EN, United Kingdom",20+
Software Engineer,354000,16.0,"Sunnyvale, CA",10-19
Software Engineer,350000,5.0,"Cupertino, CA",4-6
Software Engineer,500000,6.0,"Cupertino, CA",4-6
Software Engineer,149000,3.0,"Redmond, WA",0-3
Software Engineer,145000,1.0,"Seattle, WA",0-3
Software Engineer,280000,3.0,"San Francisco, CA",0-3
Software Engineer,170000,0.0,"New York, NY",0-3
Software Engineer,360000,2.5,"Menlo Park, CA",0-3
